date,price
5/5/17,1.4047
5/4/17,1.4008
5/3/17,1.3974
5/2/17,1.3939
5/1/17,1.3968
4/30/17,1.3972
4/29/17,1.3975
4/28/17,1.3975
4/27/17,1.3972
4/26/17,1.396
4/25/17,1.3942
4/24/17,1.3926
4/23/17,1.393
4/22/17,1.3967
4/21/17,1.3967
4/20/17,1.3976
4/19/17,1.3985
4/18/17,1.3958
4/17/17,1.3981
4/16/17,1.3979
4/15/17,1.3979
4/14/17,1.3979
4/13/17,1.3982
4/12/17,1.3964
4/11/17,1.4036
4/10/17,1.4047
4/9/17,1.4049
4/8/17,1.4049
4/7/17,1.4049
4/6/17,1.4021
4/5/17,1.4007
4/4/17,1.3983
4/3/17,1.3972
4/2/17,1.3981
4/1/17,1.3971
3/31/17,1.3971
3/30/17,1.3976
3/29/17,1.394
3/28/17,1.3968
3/27/17,1.3939
3/26/17,1.3974
3/25/17,1.3987
3/24/17,1.3987
3/23/17,1.3997
3/22/17,1.3987
3/21/17,1.3989
3/20/17,1.3971
3/19/17,1.4021
3/18/17,1.4019
3/17/17,1.4019
3/16/17,1.4011
3/15/17,1.4026
3/14/17,1.4159
3/13/17,1.415
3/12/17,1.4119
3/11/17,1.4124
3/10/17,1.4124
3/9/17,1.4214
3/8/17,1.4179
3/7/17,1.4114
3/6/17,1.4123
3/5/17,1.4106
3/4/17,1.4104
3/3/17,1.4104
3/2/17,1.4122
3/1/17,1.4089
2/28/17,1.4048
2/27/17,1.4043
2/26/17,1.4043
2/25/17,1.4049
2/24/17,1.4049
2/23/17,1.4076
2/22/17,1.4132
2/21/17,1.4207
2/20/17,1.4179
2/19/17,1.4183
2/18/17,1.4186
2/17/17,1.4186
2/16/17,1.4165
2/15/17,1.4191
2/14/17,1.4195
2/13/17,1.424
2/12/17,1.4215
2/11/17,1.4206
2/10/17,1.4206
2/9/17,1.4207
2/8/17,1.4164
2/7/17,1.4184
2/6/17,1.4091
2/5/17,1.4067
2/4/17,1.4092
2/3/17,1.4092
2/2/17,1.4111
2/1/17,1.4124
1/31/17,1.4097
1/30/17,1.4209
1/29/17,1.4296
1/28/17,1.4316
1/27/17,1.4316
1/26/17,1.4257
